0,20643971400,20643972200,00000000800,afe,inotify_add_watch
0,20643972500,20643972800,00000000300,afe,inotify_add_watch
0,20643972900,20643973200,00000000300,afe,inotify_add_watch
0,20643974300,20645056000,00001081700,a07,poll
0,20643974300,20645059300,00001085000,a07,poll
1,17434312900,33521834800,16087521900,a23,nanosleep
1,33521842800,33521876200,00000033400,a00,read
1,33521887400,33521903700,00000016300,a00,read
1,33521907200,33521907400,00000000200,a00,read
1,33521911800,33521914600,00000002800,a02,open
1,17377780600,33529813400,16152032800,a17,select
1,40771075800,33533816200,-7237259600,a07,poll
1,33533821500,33533917000,00000095500,a00,read
1,33533940100,33533945000,00000004900,a01,write
1,33533945500,33537107100,00003161600,a17,select
1,33552463900,33577797400,00025333500,a17,select
1,33577806000,33579693100,00001887100,a17,select
1,33533914500,33579701100,00045786600,a07,poll
1,33579759100,33579762700,00000003600,a09,mmap
1,33579762800,33579763000,00000000200,a08,lseek
1,33579799400,33579803200,00000003800,a01,write
1,33579702500,33579808000,00000105500,a00,read
1,33579813900,33579827600,00000013700,a00,read
1,33579804900,33579862000,00000057100,a07,poll
1,33579890400,33579891700,00000001300,a00,read
1,33579897800,33579898500,00000000700,a00,read
1,33579924000,33579924800,00000000800,a00,read
1,33579927500,33579930900,00000003400,a09,mmap
1,33579937400,33579940400,00000003000,a09,mmap
1,33580083800,33580084500,00000000700,a00,read
1,33580086100,33580088700,00000002600,a09,mmap
1,33580093000,33580096600,00000003600,a09,mmap
1,33580099000,33580100600,00000001600,a09,mmap
1,33580188000,33580188700,00000000700,a00,read
1,33580189900,33580191800,00000001900,a09,mmap
1,33580195100,33580196500,00000001400,a09,mmap
1,33580218000,33580218600,00000000600,a00,read
1,33580219800,33580221500,00000001700,a09,mmap
1,33580224300,33580225600,00000001300,a09,mmap
1,33580255000,33580255600,00000000600,a00,read
1,33580262400,33580264000,00000001600,a09,mmap
1,33580291100,33580291800,00000000700,a00,read
1,33580310900,33580311500,00000000600,a00,read
1,33580312900,33580314700,00000001800,a09,mmap
1,33580318000,33580319900,00000001900,a09,mmap
1,33580363000,33580363700,00000000700,a00,read
1,33580365000,33580366700,00000001700,a09,mmap
1,33580369800,33580371500,00000001700,a09,mmap
1,33580401000,33580401700,00000000700,a00,read
1,33580402800,33580404500,00000001700,a09,mmap
1,33580406800,33580408500,00000001700,a09,mmap
1,33580435700,33580436400,00000000700,a00,read
1,33580450000,33580450500,00000000500,a00,read
1,33580451700,33580453600,00000001900,a09,mmap
